Type,Name,Administrator,Address,City,State,Zip,County.Name,Capacity,License.First.Date,Status,Location,Lat,Long
ADULT RESIDENTIAL,11848 TRAILWOOD STREET,"SATTIEWHITE, KOLICE",11848 TRAILWOOD STREET,VICTORVILLE,CA,92392,SAN BERNARDINO,4,3/23/2017,LICENSED,"11848 TRAILWOOD STREET, VICTORVILLE, CA92392",34.4938797,-117.4050881
ADULT RESIDENTIAL,16TH STREET HOME CARE INC,"MACIAS, OSCAR",44920 16TH STREET WEST,LANCASTER,CA,93534,LOS ANGELES,6,8/10/2017,LICENSED,"44920 16TH STREET WEST, LANCASTER, CA93534",34.6991408,-118.1588868
ADULT RESIDENTIAL,218TH STREET HOUSE (HFL HARBOR GATEWAY HOMES),"LIESS, CAROL",1418 W. 218TH STREET,TORRANCE,CA,90501,LOS ANGELES,6,7/12/1999,LICENSED,"1418 W. 218TH STREET, TORRANCE, CA90501",33.8300342,-118.3022834
ADULT RESIDENTIAL,219TH FACILITY,"GOLINDA, YOLANDA",1563 W 219TH ST,TORRANCE,CA,90501,LOS ANGELES,3,4/10/2014,LICENSED,"1563 W 219TH ST, TORRANCE, CA90501",NA,NA
ADULT RESIDENTIAL,223RD STREET HOUSE (HFL HARBOR GATEWAY HOMES),"LIESS, CAROL M",1435 W. 223RD STREET,TORRANCE,CA,90501,LOS ANGELES,6,7/12/1999,LICENSED,"1435 W. 223RD STREET, TORRANCE, CA90501",33.8247997,-118.3028681
ADULT RESIDENTIAL,246 VAN ZANT HOME,JACLYN VAN ZANT,455 E. 246TH PLACE,CARSON,CA,90745,LOS ANGELES,4,7/16/2013,LICENSED,"455 E. 246TH PLACE, CARSON, CA90745",33.8020561,-118.2666373
ADULT RESIDENTIAL,262 STATION HOME,"MANZANO, ZENAIDA",262 STATION AVENUE,DALY CITY,CA,94014,SAN MATEO,11,1/28/1992,LICENSED,"262 STATION AVENUE, DALY CITY, CA94014",37.6904169,-122.469317
ADULT RESIDENTIAL,3FACES RANCH,MATTHIAS RYKERT,2039 WEST AVENUE M-12,PALMDALE,CA,93551,LOS ANGELES,6,6/7/2017,LICENSED,"2039 WEST AVENUE M-12, PALMDALE, CA93551",34.6353672,-118.1667256
ADULT RESIDENTIAL,3J'S BOARD & CARE HOME,"CABEBE, GLORIA",12778 WITHERSPOON RD.,CHINO,CA,91710,SAN BERNARDINO,6,3/13/2007,LICENSED,"12778 WITHERSPOON RD., CHINO, CA91710",34.0208281,-117.7127744
ADULT RESIDENTIAL,3RD AVENUE,CARLTON COOK,1247 3RD AVENUE,LOS ANGELES,CA,90019,LOS ANGELES,6,12/3/2013,LICENSED,"1247 3RD AVENUE, LOS ANGELES, CA90019",34.0486183,-118.3197775
