"","Name","City","Lat","Long","dummy"
"1","11848 TRAILWOOD STREET","VICTORVILLE",34.4938797,-117.4050881,1
"2","16TH STREET HOME CARE INC","LANCASTER",34.6991408,-118.1588868,1
"3","218TH STREET HOUSE (HFL HARBOR GATEWAY HOMES)","TORRANCE",33.8300342,-118.3022834,1
"4","219TH FACILITY","TORRANCE",NA,NA,1
"5","223RD STREET HOUSE (HFL HARBOR GATEWAY HOMES)","TORRANCE",33.8247997,-118.3028681,1
"6","246 VAN ZANT HOME","CARSON",33.8020561,-118.2666373,1
"7","262 STATION HOME","DALY CITY",37.6904169,-122.469317,1
"8","3FACES RANCH","PALMDALE",34.6353672,-118.1667256,1
"9","3J'S BOARD & CARE HOME","CHINO",34.0208281,-117.7127744,1
"10","3RD AVENUE","LOS ANGELES",34.0486183,-118.3197775,1
"11","84TH STREET HOME","LOS ANGELES",33.9629849,-118.3160186,1
"12","98TH STREET RESIDENTIAL","LOS ANGELES",33.9470118,-118.2859943,1
"13","A AND M ARMOUR HOME CARE","POMONA",34.08721,-117.754956,1
"14","A AND M HOME CARE","LA VERNE",34.104509,-117.7592253,1
"15","A AND M III HOME CARE","CLAREMONT",34.0860203,-117.7116495,1
"16","A AND M IV HOME CARE","CLAREMONT",34.0888012,-117.7118665,1
"17","A BETTER CHANCE II","PINOLE",38.0018092,-122.3053767,1
"18","A BETTER CHANCE III","EL SOBRANTE",37.9715772,-122.2764545,1
"19","A BETTER CHANCE V","PINOLE",37.9869572,-122.2666174,1
"20","A BETTER DAY CARE HOME","OAKLAND",37.813422,-122.282748,1
"21","A BETTER LIVING EXPERIENCE","WINDSOR",38.5618149,-122.80821,1
"22","A BETTER WAY OF LIFE","RIVERSIDE",33.9769031,-117.3965864,1
"23","A BETTER WAY OF LIFE II","RIVERSIDE",33.8871107,-117.319069,1
"24","A BETTER WAY OF LIFE #3","RIVERSIDE",33.908789,-117.493857,1
"25","A FAMILY AFFAIR CARE III","SACRAMENTO",38.5059596,-121.5096955,1
"26","A FAMILY AFFAIR CARE V","SACRAMENTO",38.5381187,-121.4506428,1
"27","A FAMILY AFFAIR CARE VI","SACRAMENTO",38.5138067,-121.4097899,1
"28","A FAMILY AFFAIR IV","SACRAMENTO",38.497964,-121.5076188,1
"29","A HOME 4 WAYNE","SAN JACINTO",33.7815867,-117.0232617,1
"30","A PLACE CALLED HOME FAUNA, INC.","MONTCLAIR",34.0689388,-117.7041323,1
"31","A PLACE OF GRACE, INC (PADDON ROAD)","VACAVILLE",38.423069,-121.95205,1
"32","A PLACE OF GRACE, INC. CANTON DRIVE","LEMON GROVE",32.7237,-117.037362,1
"33","A PLACE OF GRACE, INC. CRICKET TRAIL","VACAVILLE",38.4427594,-121.9971232,1
"34","A PLACE OF GRACE, INC. LA CRUZ LANE","VACAVILLE",38.3394804,-121.99399,1
"35","A PLACE OF GRACE, INC.(MONTE VISTA)","VACAVILLE",38.35945,-122.001376,1
"36","A RESIDENCE","FAIRFIELD",38.269954,-122.046898,1
"37","A & E CARE HOME","GARDEN GROVE",33.7637972,-117.9595217,1
"38","A & K RESIDENTIAL HOME","HAYWARD",37.6772812,-122.1109465,1
"39","A & M II HOME CARE","CLAREMONT",34.1101451,-117.7402843,1
"40","A & R EBUEN CARE HOME #2","SACRAMENTO",NA,NA,1
"41","A & R GUEST HOME I","LA MIRADA",33.8996919,-118.0255228,1
"42","A & R QUALITY CARE, LLC","ELK GROVE",38.3827491,-121.4274727,1
"43","A & T CARE HOME","SAN JOSE",37.402399,-121.877385,1
"44","A & W RESIDENTIAL CARE","LANCASTER",34.6917091,-118.1677174,1
"45","AACRES - BIRCHER ST","GRANADA HILLS",NA,NA,1
"46","AACRES - QUARTZ AVE","WINNETKA",34.2164978,-118.5644846,1
"47","AACRES CA - ATHERTON","LONG BEACH",33.7890637,-118.0981256,1
"48","AACRES CA - MARCELLUS","LONG BEACH",33.8408295,-118.1808729,1
"49","AACRES CA - OCANA","LONG BEACH",33.8288264,-118.1201921,1
"50","AACRES CA - PARK","BELLFLOWER",33.8786957,-118.1298132,1
"51","AACRES CA LLC - BELLFLOWER","LAKEWOOD",33.866389,-118.125617,1
"52","AACRES CA LLC - GLENWOOD","SOUTH GATE",33.9540381,-118.2279364,1
"53","AACRES CA LLC - NECTAR","LAKEWOOD",33.8367881,-118.088004,1
"54","AACRES CA LLC - PENNSYLVANIA","SOUTH GATE",33.9231669,-118.1724406,1
"55","AACRES CA LLC - TUPPER","NORTH HILLS",34.2390842,-118.4878189,1
"56","AARONS HOME, LLC","REDDING",40.608852,-122.4133064,1
"57","ABAD GROUP HOME II","TORRANCE",33.824024,-118.3012597,1
"58","ABAD HOME III","TORRANCE",33.8192577,-118.3284368,1
"59","ABAGAT'S ARF FOR THE DEVELOPMENTALLY DISABLED","SAN DIEGO",32.5689929,-117.0866254,1
"60","ABARQUEZ HOMES INC.","VISALIA",36.3414332,-119.2944344,1
"61","ABBY'S ADULT RESIDENTIAL CARE HOME","UNION CITY",37.5936744,-122.0708034,1
"62","ABBY'S GUEST HOME","WEST COVINA",34.0836025,-117.9113391,1
"63","ABBY'S HOME","GILROY",37.0033061,-121.5763321,1
"64","ABC CARE HOME","UNION CITY",37.5975726,-122.0552344,1
"65","ABC1 LLC","MORENO VALLEY",33.9697931,-117.2294587,1
"66","ABELLA ADULT RESIDENTIAL FACILITY-V","MORENO VALLEY",33.9249067,-117.1924157,1
"67","ABELLA ADULT RESIDENTIAL FACILITY IV","MORENO VALLEY",33.8804845,-117.2081909,1
"68","ABELLA ARF-DARWIN","MORENO VALLEY",33.9211797,-117.2043999,1
"69","ABEL&DAVIT HAYRAPETYAN'S COMMUNITY CARE FACILITY","ARLETA",34.2551764,-118.4345423,1
"70","ABIA PEPPER HOUSE","TEHACHAPI",35.1267146,-118.4417683,1
"71","ABODE, THE","SAN MATEO",37.5642722,-122.2987949,1
"72","ABORN ADULT CARE HOME","SAN JOSE",37.3139972,-121.7893768,1
"73","ABOVE AND BEYOND CARE HOMES INC.","PALMDALE",34.5666321,-118.0328978,1
"74","ABRAHAM HOUSE","ORANGE",NA,NA,1
"75","ABRAJANO GROUP HOME","BELL GARDENS",33.9619464,-118.1612885,1
"76","ABSOLUTE MANAGED CARE","LOS ANGELES",34.0012294,-118.3037535,1
"77","ABSOLUTE MANAGED CARE II","LOS ANGELES",33.9313593,-118.3145798,1
"78","ABSOLUTELY CARE FACILITY","TEMECULA",33.469433,-117.075144,1
"79","ABUTIN CARE HOME I","OXNARD",34.179761,-119.170424,1
"80","ABUTIN CARE HOME II","OXNARD",34.1860859,-119.2059759,1
"81","ABUTIN CARE HOME III","OXNARD",34.193352,-119.2109,1
"82","ABUTIN CARE HOME IV","OXNARD",34.2205662,-119.1659736,1
"83","AC HOME","AMERICAN CANYON",38.1768916,-122.2578898,1
"84","ACACIA HOME","REEDLEY",36.6031061,-119.4506737,1
"85","ACACIA HOUSE, THE","FRESNO",36.8037453,-119.8435005,1
"86","ACOB'S HOME CARE","HAYWARD",37.62243,-122.0943,1
"87","ACOB HOME","HAYWARD",37.648602,-122.0924181,1
"88","ACOB HOME 3","HAYWARD",37.6518787,-122.0916197,1
"89","ACOSTA ARF #1","SAN DIEGO",32.7016434,-117.0807226,1
"90","ACOSTA ARF #2","SAN DIEGO",32.680309,-117.0630295,1
"91","ACOSTA ARF #3","SAN DIEGO",32.7144156,-117.0921103,1
"92","ACOSTA ARF #4","SAN DIEGO",32.6708782,-117.0539394,1
"93","ACOSTA FAMILY HOME","CARSON",33.8480184,-118.2449651,1
"94","ACOSTA FAMILY HOME II","CARSON",33.8298172,-118.2410478,1
"95","ACOSTA FAMILY HOME III","LOS ANGELES",33.9971525,-118.2849718,1
"96","ACTIVE CARE HOME","WEST COVINA",34.0497942,-117.955558,1
"97","AD & T GROUP HOME","NORTHRIDGE",34.2472502,-118.4987138,1
"98","ADAM'S ARF","FALLBROOK",33.3900268,-117.2376971,1
"99","ADAM'S HELENA ARF","FALLBROOK",33.3698375,-117.1730498,1
"100","ADAMS RESIDENTIAL CARE FACILITY","LOS ANGELES",34.0329867,-118.2995841,0
"101","ADE EMMANUEL ADULT RESIDENTIAL FACILITY","LOS ANGELES",33.9355483,-118.2345666,1
"102","ADELAIDE HOME","VACAVILLE",38.3618601,-121.9433226,1
"103","ADENA","RIVERBANK",37.733056,-120.9472077,0
"104","ADI RESIDENTIAL FACILITY FOR ADULTS","LOS ANGELES",33.9774457,-118.2881873,1
"105","ADLA INC. #1","VAN NUYS",34.2055165,-118.4451344,1
"106","ADLA INC. #2","VAN NUYS",34.1931318,-118.445469,1
"107","ADLER CARE HOME","FRESNO",36.7168717,-119.7261794,1
"108","ADOBE RESIDENTIAL","RED BLUFF",40.193574,-122.233237,1
"109","ADOBE RESIDENTIAL GILMORE","RED BLUFF",40.1772372,-122.2270366,1
"110","ADVENT RESIDENTIAL CARE HOME","STOCKTON",37.9303468,-121.2995809,1
"111","AFESTIN HOMES GRAYSON","ANAHEIM",33.8500995,-117.9553534,1
"112","AFSHAR CARE HOME","SACRAMENTO",38.570836,-121.3468991,1
"113","AFU ONE VOICE CARE","BAY POINT",38.0114686,-121.9430063,1
"114","AG HEALTH CARE, INC.","BRENTWOOD",37.932258,-121.7090233,1
"115","AGAPE CHRISTIAN-CLARK HOUSE","LONG BEACH",33.8204487,-118.1334655,1
